,product_name,ratings,Prices,description
170,APPLE iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB ROM 12.9 inch with Wi-Fi Only (Space Grey),4.6,"Rs 1,09,999",6 GB RAM | 512 GB ROM32.77 cm (12.9 inch) Quad HD Display12 MP Primary Camera | 7 MP FrontiPadOS 13.4 | Battery: Lithium PolymerProcessor: A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor1 Year Limited Hardware Warranty
171,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G (Green),4.7,"Rs 59,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
172,APPLE iPad Pro 2021 (5th Generation) 16 GB RAM 1 TB ROM 12.9 inches with Wi-Fi+5G (Silver),4.6,"Rs 1,67,900","Apple M1 chip for next-level performanceBrilliant 12.9-inch Liquid Retina XDR display with ProMotion, True Tone, and P3 wide colorTrueDepth camera system featuring Ultra Wide camera with Center Stage12MP Wide camera, 10MP Ultra Wide camera, and LiDAR Scanner for immersive AR5G for superfast downloads and high-quality streamingStay connected with ultrafast Wi-Fi 6Go further with all-day battery lifeThunderbolt port for connecting to fast external storage, displays, and docksFace ID for secure authentication and Apple PayFour speaker audio and five studio-quality microphonesSupport for Apple Pencil (2nd generation), Magic Keyboard, and Smart Keyboard FolioiPadOS is powerful, intuitive, and designed specifically for iPadOver a million apps on the App Store just for iPad16 GB RAM | 1 TB ROM32.77 cm (12.9 inches) Quad HD Display12 MP Primary Camera | 12 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year Warranty"
173,APPLE iPad mini (6th Gen) 256 GB ROM 8.3 inch with Wi-Fi Only (Starlight),4.5,"Rs 59,400",256 GB ROM21.08 cm (8.3 inch) Display12 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A15 Bionic Chip with 64-bit Architecture1 Year Warranty
174,APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi+5G (Pink),3.9,"Rs 68,900",64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerVoice Call (Single Sim)Processor: Apple M1 chip1 Year Warranty
175,SAMSUNG Galaxy Tab S6 Lite With Stylus 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi Only Tablet (Chiffon Pi...,4.7,"Rs 28,999","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB26.42 cm (10.4 inch) Full HD Display8 MP Primary Camera | 5 MP FrontAndroid 10 | Battery: 7040 mAh Lithium-ionProcessor: Exynos Octa Core1 Year on Tablet, 6 Months on Accessories"
176,Alcatel 3T8 (2nd Gen) 2 GB RAM 32 GB ROM 8 inches with Wi-Fi+4G Tablet (Black),4.6,"Rs 9,499",2 GB RAM | 32 GB ROM20.32 cm (8 inches) Display5 MP Primary CameraAndroid 10 | Battery: 4080 mAhVoice Call (Single Sim)1 Year warranty from date of purchase
177,APPLE iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM 11 inch with Wi-Fi+4G (Silver),4.6,"Rs 1,17,099",6 GB RAM | 1 TB ROM27.94 cm (11 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 13.4 | Battery: Lithium PolymerProcessor: A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor1 Year Limited Hardware Warranty
178,APPLE ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4G (Space Grey),4.7,"Rs 55,900","7.9-inch Retina display with True Tone and wide colorA12 Bionic chipTouch ID fingerprint sensor and Apple Pay8MP back camera, 7MP FaceTime HD front cameraStereo speakers802.11ac Wi-Fi with Gigabit-class LTE cellular dataUp to 10 hours of battery lifeLightning connector for charging and accessoriesSupport for Apple Pencil (1st generation)iPadOS 14 brings new capabilities designed specifically for iPad256 GB ROM20.07 cm (7.9 inch) Full HD Display8 MP Primary Camera | 7 MP FrontiOS 12 | Battery: Lithium PolymerProcessor: A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase"
179,APPLE ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Gold),4.6,"Rs 41,900","7.9-inch Retina display with True Tone and wide colorA12 Bionic chipTouch ID fingerprint sensor and Apple Pay8MP back camera, 7MP FaceTime HD front cameraStereo speakers802.11ac Wi-Fi with Gigabit-class LTE cellular dataUp to 10 hours of battery lifeLightning connector for charging and accessoriesSupport for Apple Pencil (1st generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM20.07 cm (7.9 inch) Full HD Display8 MP Primary Camera | 7 MP FrontiOS 12 | Battery: Lithium PolymerProcessor: A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase"
180,APPLE iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB ROM 11 inch with Wi-Fi Only (Space Grey),3.5,"Rs 87,099",6 GB RAM | 512 GB ROM27.94 cm (11 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 13.4 | Battery: Lithium PolymerProcessor: A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor1 Year Limited Hardware Warranty
181,APPLE ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4G (Gold),4.7,"Rs 55,900","7.9-inch Retina display with True Tone and wide colorA12 Bionic chipTouch ID fingerprint sensor and Apple Pay8MP back camera, 7MP FaceTime HD front cameraStereo speakers802.11ac Wi-Fi with Gigabit-class LTE cellular dataUp to 10 hours of battery lifeLightning connector for charging and accessoriesSupport for Apple Pencil (1st generation)iPadOS 14 brings new capabilities designed specifically for iPad256 GB ROM20.07 cm (7.9 inch) Full HD Display8 MP Primary Camera | 7 MP FrontiOS 12 | Battery: Lithium PolymerProcessor: A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase"
182,I Kall N19 Pro 3 GB RAM 32 GB ROM 8 inch with 4G Tablet (Grey),4.7,"Rs 7,499",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB20.32 cm (8 inch) Display8 MP Primary Camera | 5 MP FrontAndroid 11.0 | Battery: 4000 mAh Lithium PolymerVoice Call (Single Sim)Processor: Octa core1 Year Domestic Warrantyages
183,APPLE iPad Pro 2021 (3rd Generation) 16 GB RAM 2 TB ROM 11 inches with Wi-Fi+5G (Space Grey),3,"Rs 1,75,900","Apple M1 chip for next-level performanceStunning 11-inch Liquid Retina display with ProMotion, True Tone, and P3 wide colorTrueDepth camera system featuring Ultra Wide front camera with Center Stage12MP Wide camera, 10MP Ultra Wide camera, and LiDAR Scanner for immersive AR5G for superfast downloads and high-quality streamingStay connected with ultrafast Wi-Fi 6Go further with all-day battery lifeThunderbolt port for connecting to fast external storage, displays, and docksFace ID for secure authentication and Apple PayFour speaker audio and five studio-quality microphonesSupport for Apple Pencil (2nd generation), Magic Keyboard, and Smart Keyboard Folio4iPadOS is powerful, intuitive, and designed specifically for iPadOver a million apps on the App Store just for iPad16 GB RAM | 2 TB ROM27.94 cm (11 inches) Quad HD Display12 MP Primary Camera | 12 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year Warranty"
184,APPLE iPad Pro (4th Gen) 1 TB ROM 11.0 inch with Wi-Fi Only (Space Grey),4.7,"Rs 1,50,900",1 TB ROM27.94 cm (11.0 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: Apple M2 chip1 Year Limited Hardware Warranty
185,I Kall N16 3 GB RAM 32 GB ROM 8 inch with 4G Tablet (Grey),4.5,"Rs 7,499",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB20.32 cm (8 inch) HD Display8 MP Primary CameraAndroid 11 | Battery: 4000 mAh Lithium PolymerVoice Call (Single Sim)Processor: Octa Core1 Year warranty for device and 6 Months for box accessories
186,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G (Sky Blue),4.6,"Rs 59,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
187,SAMSUNG Galaxy Tab S6 Lite With Stylus 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Pink),3.7,"Rs 31,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB26.42 cm (10.4 inch) Full HD Display8 MP Primary Camera | 5 MP FrontAndroid 12 | Battery: 7040 mAhProcessor: Qualcomm SDM720G (Octa-Core)1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
188,APPLE ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Silver),4.7,"Rs 41,900","7.9-inch Retina display with True Tone and wide colorA12 Bionic chipTouch ID fingerprint sensor and Apple Pay8MP back camera, 7MP FaceTime HD front cameraStereo speakers802.11ac Wi-Fi with Gigabit-class LTE cellular dataUp to 10 hours of battery lifeLightning connector for charging and accessoriesSupport for Apple Pencil (1st generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM20.07 cm (7.9 inch) Full HD Display8 MP Primary Camera | 7 MP FrontiOS 12 | Battery: Lithium PolymerProcessor: A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase"
